날짜,지점,평균기온,최저기온,최고기온
01-01-66,101,-10.1,-16.9,-1.4
01-02-66,101,-8.9,-15.4,-0.1
01-03-66,101,-5.3,-10.3,-0.2
01-04-66,101,-3.3,-7.7,1.2
01-05-66,101,-6.1,-12.7,1.9
01-06-66,101,-2.8,-7.1,3.9
01-07-66,101,-4.3,-12,2.1
01-08-66,101,-7.1,-14.3,-0.6
01-09-66,101,-4.6,-9.9,2.3
01-10-66,101,-3,-6.5,4.2
01-11-66,101,-5.5,-14,-0.6
01-12-66,101,-5.8,-12,0.3
01-13-66,101,-5.7,-13.7,2.1
01-14-66,101,-7.6,-15.9,-1.5
01-15-66,101,-1.7,-7.4,4.2
01-16-66,101,2.3,-2.4,7.8
01-17-66,101,-3.8,-8.2,2.5
01-18-66,101,-9.5,-14,-5.6
01-19-66,101,-11.5,-15.2,-1.4
01-20-66,101,-13.4,-19.4,-7.2
01-21-66,101,-12.1,-17.7,-5.1
01-22-66,101,-10.2,-16.8,-2
01-23-66,101,-10.9,-16.5,-4.3
01-24-66,101,-11.2,-17.7,-5.2
01-25-66,101,-4.3,-7.5,-0.3
01-26-66,101,-7.3,-12.9,-1.7
01-27-66,101,-10,-16.8,-4.6
01-28-66,101,-7.7,-12.8,-2.4
01-29-66,101,-1.8,-10,2.5
01-30-66,101,-6.9,-14.8,0.6
01-31-66,101,-2.8,-6.9,3.3
02-01-66,101,1.2,-4.1,8.8
02-02-66,101,2.7,-3.6,9.4
02-03-66,101,0.2,-7,8.4
02-04-66,101,-6.4,-9.8,-1.8
02-05-66,101,-7.7,-12.6,-3
02-06-66,101,-7.9,-14,-2.1
02-07-66,101,-7.8,-16.4,0.9
02-08-66,101,-3.4,-12.1,4.8
02-09-66,101,1,-7.4,9.8
02-10-66,101,4.6,1.4,10.6
02-11-66,101,-3.4,-8.7,1.4
02-12-66,101,-6.4,-11.6,-1.6
02-13-66,101,-0.7,-2.5,2.2
02-14-66,101,0.6,-2.9,6.8
02-15-66,101,2.5,-2.4,7.3
02-16-66,101,4.1,1.4,7.7
02-17-66,101,4.1,-0.1,9
02-18-66,101,2.2,-1.8,5.4
02-19-66,101,0.4,-4.2,6.3
02-20-66,101,2.7,0.7,7
02-21-66,101,2.3,-1.4,4.6
02-22-66,101,-2,-6.6,-0.6
02-23-66,101,-11.2,-17.4,-5.6
02-24-66,101,-8.9,-17.4,-0.6
02-25-66,101,-2.2,-7.2,1.5
02-26-66,101,0.8,-3.4,7.2
02-27-66,101,1.6,-3.3,9.2
02-28-66,101,1,-1.8,5.2
03-01-66,101,3.4,-0.9,7.6
03-02-66,101,6,3.7,8.8
03-03-66,101,7.1,5,10.5
03-04-66,101,5.4,2.9,7.7
03-05-66,101,3.8,-0.4,9
03-06-66,101,1.2,0.3,3.2
03-07-66,101,0.4,-2.6,3
03-08-66,101,-0.7,-5,4.5
03-09-66,101,0,-4.1,5
03-10-66,101,2.2,-1.7,7
03-11-66,101,2.4,-2.3,10.1
03-12-66,101,4.7,-1.9,12.4
03-13-66,101,8.9,1.1,12.6
03-14-66,101,4.2,-2.4,11.2
03-15-66,101,5,1.1,8.8
03-16-66,101,6.9,4,10.9
03-17-66,101,4.8,2,8.2
03-18-66,101,2.1,0.6,5
03-19-66,101,-0.7,-3.2,0.8
03-20-66,101,-0.9,-5.4,3.4
03-21-66,101,2.1,-4.2,9.4
03-22-66,101,5.2,0.6,8.8
03-23-66,101,3.5,-0.2,7.4
03-24-66,101,1.7,-1.1,5.7
03-25-66,101,0.8,-4.2,6.4
03-26-66,101,1.9,-4,8.2
03-27-66,101,4,-2.3,11.4
03-28-66,101,5.5,1.4,10.4
03-29-66,101,4.4,1,9.4
03-30-66,101,5.3,-0.6,11.5
03-31-66,101,5.6,0.9,11.3
04-01-66,101,7.3,0.9,14.5
04-02-66,101,8.2,0.3,16.8
04-03-66,101,10,4,17.7
04-04-66,101,7.5,2.5,13.8
04-05-66,101,6.3,-2.3,15.2
04-06-66,101,7.4,-1,15.3
04-07-66,101,9.3,3.5,16
04-08-66,101,10.5,5.3,17.6
04-09-66,101,7.3,2.4,15.4
04-10-66,101,9.7,1.4,15.3
04-11-66,101,8.8,5.3,13.8
04-12-66,101,9.4,0.4,17.5
04-13-66,101,12.3,5.6,20.8
04-14-66,101,13.4,3,24.7
04-15-66,101,9.3,5.6,14.4
04-16-66,101,5.3,3.8,7.8
04-17-66,101,7.4,4.4,11.7
04-18-66,101,10.3,4.1,16.7
04-19-66,101,10.5,5,16
04-20-66,101,12.8,4.2,20.4
04-21-66,101,14.2,7.9,20.9
04-22-66,101,18.1,9.2,26.9
04-23-66,101,18.4,13.8,26.4
04-24-66,101,19.4,12.1,26.4
04-25-66,101,19.4,12,25.8
04-26-66,101,15.7,14,17.8
04-27-66,101,17,11.4,22.4
04-28-66,101,17.3,15.5,19.8
04-29-66,101,14.8,9.3,18.1
04-30-66,101,11.9,4.8,19.5
05-01-66,101,13.4,4.3,21.1
05-02-66,101,11,8.6,13.6
05-03-66,101,11.2,6.6,16.2
05-04-66,101,12.3,3.2,21.7
05-05-66,101,15.6,6.7,24.6
05-06-66,101,17.8,8.4,27.7
05-07-66,101,14,11,17.2
05-08-66,101,15.8,9.7,20.8
05-09-66,101,17.9,9.1,25.9
05-10-66,101,17.7,10.4,22.2
05-11-66,101,15.8,7.8,25
05-12-66,101,17.4,8.6,26.9
05-13-66,101,18.8,10.4,28.7
05-14-66,101,16.7,12.3,22.6
05-15-66,101,17.7,12.2,23.4
05-16-66,101,15.5,8.9,24.6
05-17-66,101,17.6,9.4,26.8
05-18-66,101,17.8,8.4,28.3
05-19-66,101,19.8,11.9,29
05-20-66,101,19.2,16,22.8
05-21-66,101,19,14.4,22.7
05-22-66,101,18,11.7,23.3
05-23-66,101,18,12.4,23.4
05-24-66,101,16.9,6.3,28.3
05-25-66,101,18.8,7.2,30.9
05-26-66,101,20.1,7.1,30.4
05-27-66,101,18.7,14.5,23.4
05-28-66,101,16.4,11.4,21.4
05-29-66,101,21.2,15,27.7
05-30-66,101,20.3,11.4,27.9
05-31-66,101,21,16.1,27.4
06-01-66,101,20.7,14.4,27.8
06-02-66,101,20.1,13.5,26.7
06-03-66,101,18.6,12.4,24.7
06-04-66,101,16.3,12.7,20.6
06-05-66,101,11.9,10.3,14.8
06-06-66,101,14.6,9.4,20.7
06-07-66,101,18,11.2,25.3
06-08-66,101,20,16.5,24.6
06-09-66,101,19.2,15.6,24.6
06-10-66,101,17.2,14.7,22.5
06-11-66,101,17.1,13,21.2
06-12-66,101,18.1,9.6,26.6
06-13-66,101,21.2,14.2,28.2
06-14-66,101,20.8,15.2,27.3
06-15-66,101,20.1,12.1,28.8
06-16-66,101,22.9,14.2,31.4
06-17-66,101,24.1,17.4,31.2
06-18-66,101,23.3,17.1,29.2
06-19-66,101,18.7,16.6,20.9
06-20-66,101,21.2,15.6,28.2
06-21-66,101,24.4,19.9,30.4
06-22-66,101,25.4,19.8,31.8
06-23-66,101,25,20.5,30.1
06-24-66,101,25.4,21.6,29.5
06-25-66,101,22.4,19.4,24.7
06-26-66,101,20.3,17.8,25
06-27-66,101,19.7,17,23.1
06-28-66,101,20.9,16.6,25.1
06-29-66,101,21.2,14.9,27.7
06-30-66,101,20,17.8,23.2
07-01-66,101,17.7,16.4,19.8
07-02-66,101,18.7,15,23.1
07-03-66,101,19.8,11.7,27.1
